,product_name,class
37,"Waste, parings and scrap, of plastics",plastic
45,Plastics in non-primary forms,plastic
52,Plastics in primary forms,plastic
53,"Tubes, pipes and hoses of plastics",plastic
259,"Other plastics, in primary forms",plastic
266,"Plates, sheets, films, foil & strip, of plastics",plastic
294,"Monofilaments, of plastics, cross-section > 1mm",plastic
328,"Articles, n.e.s., of plastics",plastic
59,"Travel goods, handbags & similar containers",bag
299,"Travel goods, handbags, etc.",bag
64,"Cinematograph films, exposed & developed",film
266,"Plates, sheets, films, foil & strip, of plastics",film
