Country,product,Year,qty_thousands,price_per_thousands,US_inflation_adjusted_price,country_category
Austria,textile bag,2015,0.00242,5740.0,6274.703840427096,EU
Austria,paper bag,2015,24.69968503937008,207.645,226.9879580044398,EU
Austria,plastic bag,2015,3.08,35.14,38.41343082798051,EU
Belgium,textile bag,2015,0.00085,7940.0,8679.642594597759,EU
Belgium,paper bag,2015,21.446771653543305,455.295,497.7075409455148,EU
Belgium,plastic bag,2015,35.74,97.91,107.03070610038623,EU
Bulgaria,paper bag,2015,0.02236220472440945,2585.72,2826.5901070155314,EU
Bulgaria,plastic bag,2015,0.61,59.69,65.25036101656679,EU
China,textile bag,2015,257.47685,2650.0,2896.8580447964814,China
China,paper bag,2015,2892.685196850394,228.6,249.8949996379153,China
China,plastic bag,2015,76598.59,10.47,11.445322161894023,China
Croatia,plastic bag,2015,4.71,5.12,5.596948373342636,EU
Cyprus,paper bag,2015,0.014488188976377953,333.375,364.4302078052932,EU
Czech Republic,textile bag,2015,0.01331,1160.0,1268.058615835441,EU
Czech Republic,paper bag,2015,4.029448818897638,215.26500000000001,235.3177913257037,EU
Czech Republic,plastic bag,2015,37.03,0.77,0.8417285639597324,EU
Denmark,textile bag,2015,0.00107,15120.0,16528.488165027473,EU
Denmark,paper bag,2015,1.1248818897637796,580.39,634.4556379695962,EU
Denmark,plastic bag,2015,20.29,14.53,15.883527317318066,EU
Estonia,textile bag,2015,0.00696,190340.0,208070.9283949292,EU
Finland,textile bag,2015,0.00876,6850.0,7488.104757304112,EU
Finland,paper bag,2015,48.423464566929134,128.27,140.21886090794143,EU
Finland,plastic bag,2015,0.38,103.12,112.72603833185406,EU
France,textile bag,2015,0.6958799999999999,5420.0,5924.894567093182,EU
France,paper bag,2015,132.58015748031497,247.65,270.719582941075,EU
France,plastic bag,2015,95.1,58.5,63.9495077813563,EU
Germany,textile bag,2015,0.24147,5190.0,5673.469151884431,EU
Germany,paper bag,2015,1814.7787401574803,177.79999999999998,194.36277749615638,EU
Germany,plastic bag,2015,3318.51,9.75,10.658251296892717,EU
Greece,paper bag,2015,0.10960629921259843,379.09499999999997,414.40920773287627,EU
Greece,plastic bag,2015,5.78,157.16,171.8000793661189,EU
Hungary,textile bag,2015,8.999999999999999e-05,36800.0,40228.0664334002,EU
Hungary,paper bag,2015,0.5313385826771654,354.33,387.33724943876877,EU
Hungary,plastic bag,2015,5.0,1.29,1.4101686331273438,EU
India,textile bag,2015,2.7253600000000002,1670.0,1825.5671452113677,India
India,paper bag,2015,116.22047244094489,138.43,151.32530533629318,India
India,plastic bag,2015,5411.3,9.07,9.914906591058147,India
Ireland,textile bag,2015,0.00023999999999999998,35960.0,39309.81709089867,EU
Ireland,paper bag,2015,0.11291338582677166,1786.89,1953.3459138363717,EU
Ireland,plastic bag,2015,4.5,81.78,89.39813241639861,EU
Italy,textile bag,2015,0.10887999999999999,16990.0,18572.686106072542,EU
Italy,paper bag,2015,286.70771653543306,141.605,154.79606922015313,EU
Italy,plastic bag,2015,111.94,10.72,11.718610656686144,EU
Latvia,paper bag,2015,0.0006299212598425197,5680.71,6209.890741002197,EU
Lithuania,textile bag,2015,7.000000000000001e-05,23820.0,26038.92778379328,EU
Lithuania,paper bag,2015,0.04850393700787402,338.455,369.98343001946904,EU
Luxembourg,paper bag,2015,0.5562204724409449,144.78,158.26683310401307,EU
Netherlands,textile bag,2015,0.00992,5840.0,6384.019238343945,EU
Netherlands,paper bag,2015,61.08362204724409,209.54999999999998,229.0704163347557,EU
Netherlands,plastic bag,2015,126.67,23.43,25.61259773191757,EU
Poland,textile bag,2015,0.02252,9010.0,9849.31735230804,EU
Poland,paper bag,2015,29.814015748031498,323.215,353.32376337694143,EU
Poland,plastic bag,2015,35.98,22.98,25.12067844129176,EU
Portugal,textile bag,2015,0.01039,16110.0,17610.710604404274,EU
Portugal,paper bag,2015,2.651968503937008,276.86,302.65061067258637,EU
Portugal,plastic bag,2015,0.05,531.04,580.5084890976314,EU
Romania,textile bag,2015,0.00447,48990.0,53553.61343946402,EU
Romania,paper bag,2015,0.12913385826771653,104.14,113.84105539060589,EU
Romania,plastic bag,2015,0.68,14.32,15.653964981692688,EU
Slovakia,paper bag,2015,0.002047244094488189,995.045,1087.7374012017037,EU
Slovakia,plastic bag,2015,35.05,3.36,3.672997370006105,EU
Slovenia,paper bag,2015,0.22503937007874014,254.0,277.66111070879487,EU
Slovenia,plastic bag,2015,0.02,112.25,122.70653416166229,EU
Spain,textile bag,2015,0.034159999999999996,7610.0,8318.901781472161,EU
Spain,paper bag,2015,119.58299212598426,201.295,220.0464302367199,EU
Spain,plastic bag,2015,200.48,30.69,33.54889562068076,EU
Sweden,textile bag,2015,0.0052,20680.0,22606.424289204242,EU
Sweden,paper bag,2015,27.453700787401573,215.26500000000001,235.3177913257037,EU
Sweden,plastic bag,2015,23.35,28.28,30.91439453088472,EU
Austria,textile bag,2016,0.026629999999999997,12770.0,13942.844900101414,EU
Austria,paper bag,2016,52.91653543307086,142.24,155.30385736808344,EU
Austria,plastic bag,2016,1.36,66.0,72.06168859880135,EU
Belgium,textile bag,2016,0.00632,4530.0,4946.0522629177285,EU
Belgium,paper bag,2016,18.226299212598423,540.385,590.0159938403525,EU
Belgium,plastic bag,2016,31.41,117.74,128.55368508519499,EU
Bulgaria,paper bag,2016,0.09653543307086614,1261.11,1376.9350925580966,EU
Bulgaria,plastic bag,2016,0.13,106.85,116.66350646639277,EU
China,textile bag,2016,244.09393,2680.0,2926.1412946179944,China
China,paper bag,2016,3181.065039370079,208.915,228.1025405093725,China
China,plastic bag,2016,81070.52,9.62,10.50353703515862,China
Croatia,plastic bag,2016,6.96,5.17,5.6448322735727725,EU
Cyprus,paper bag,2016,0.35401574803149605,348.615,380.6331147101686,EU
Czech Republic,textile bag,2016,0.001,4300.0,4694.928196588572,EU
Czech Republic,paper bag,2016,8.53007874015748,172.085,187.88993458370805,EU
Czech Republic,plastic bag,2016,0.06,448.2,489.3643762118601,EU
Denmark,textile bag,2016,0.00131,9890.0,10798.33485215372,EU
Denmark,paper bag,2016,7.771653543307087,247.01500000000001,269.70178801868053,EU
Denmark,plastic bag,2016,1.63,263.68,287.89736438987785,EU
Estonia,textile bag,2016,0.0066,148750.0,162411.7602889652,EU
Finland,textile bag,2016,0.0053,11320.0,12359.671438461079,EU
Finland,paper bag,2016,30.26755905511811,142.875,155.9971781599052,EU
Finland,plastic bag,2016,0.03,1370.78,1496.6775984464382,EU
France,textile bag,2016,0.09759999999999999,8450.0,9226.079828179869,EU
France,paper bag,2016,163.33811023622047,229.23499999999999,250.2888058476701,EU
France,plastic bag,2016,135.28,70.78,77.2807018033812,EU
Germany,textile bag,2016,0.16349,8800.0,9608.225146506846,EU
Germany,paper bag,2016,1317.2850393700787,194.945,212.84948308929285,EU
Germany,plastic bag,2016,1887.98,21.52,23.496477858275835,EU
Greece,paper bag,2016,0.766771653543307,183.51500000000001,200.36970883650045,EU
Greece,plastic bag,2016,31.17,31.35,34.22930208443064,EU
Hungary,textile bag,2016,0.00348,5370.0,5863.201026902474,EU
Hungary,paper bag,2016,2.2426771653543307,500.38,546.3367839555791,EU
Hungary,plastic bag,2016,141.15,0.73,0.7970459496534088,EU
India,textile bag,2016,1.76297,1820.0,1987.1556553002797,India
India,paper bag,2016,123.16582677165354,134.62,146.98400786622182,India
India,plastic bag,2016,5711.8,10.65,11.628136114806583,India
Ireland,textile bag,2016,0.00011999999999999999,7840.0,8560.055130524283,EU
Ireland,paper bag,2016,1.4129133858267717,201.93,220.4760117993327,EU
Ireland,plastic bag,2016,2.43,196.17,214.18699170343726,EU
Italy,textile bag,2016,0.28625,8140.000000000001,8887.608260518835,EU
Italy,paper bag,2016,297.2763779527559,140.97,153.9172157844398,EU
Italy,plastic bag,2016,106.42,10.54,11.508033300475248,EU
Latvia,paper bag,2016,0.011181102362204725,1712.595,1869.8861755433968,EU
Lithuania,textile bag,2016,0.00016,17280.0,18867.060287686174,EU
Lithuania,paper bag,2016,0.008346456692913387,1517.6499999999999,1657.036692454104,EU
Luxembourg,paper bag,2016,0.5228346456692914,124.46,135.89087519707297,EU
Netherlands,textile bag,2016,0.04782,2820.0,3078.9994219487853,EU
Netherlands,paper bag,2016,82.54692913385826,210.82,230.1825028848379,EU
Netherlands,plastic bag,2016,81.02,44.59,48.68531355485685,EU
Poland,textile bag,2016,0.02634,8210.0,8964.03732418423,EU
Poland,paper bag,2016,24.896062992125987,330.835,361.2201325391582,EU
Poland,plastic bag,2016,4.93,202.15,220.7162174279954,EU
Portugal,textile bag,2016,0.03254,15210.0,16606.943690723765,EU
Portugal,paper bag,2016,10.714330708661418,183.51500000000001,200.36970883650045,EU
