Country,product,Year,values,price_per_thousands,US_inflation_adjusted_price,qty_in_thousands
Argentina,paper bag,2015,301124,147.32,161.04344421110102,2044.013032853652
Argentina,plastic bag,2015,532558,955.76,1044.79284713007,557.208922742111
Australia,textile bag,2015,584209,18630.0,20365.458631908856,31.358507783145463
Australia,paper bag,2015,618754,960.755,1050.2531512560163,644.0289147597463
Australia,plastic bag,2015,2416467,59.46,64.99893560135804,40640.21190716448
Austria,textile bag,2015,322623,5740.0,6274.703840427096,56.20609756097561
Austria,paper bag,2015,7387664,207.645,226.9879580044398,35578.33802884731
Austria,plastic bag,2015,197163,35.14,38.41343082798051,5610.785429709733
Bangladesh,textile bag,2015,113545685,16160.0,17665.368303362695,7026.341893564357
Bangladesh,plastic bag,2015,3014912,10.33,11.292280604810436,291859.825750242
Belgium,textile bag,2015,954970,7940.0,8679.642594597759,120.27329974811083
Belgium,paper bag,2015,38081891,455.295,497.7075409455148,83642.23415587695
Belgium,plastic bag,2015,4023460,97.91,107.03070610038623,41093.45317127975
Bolivia,plastic bag,2015,355,7.1,7.7613932520962345,50.0
Bosnia-Herzegov,textile bag,2015,52448,5660.0,6187.251522093617,9.266431095406361
Brazil,textile bag,2015,338200,10690.0,11685.81603731109,31.637043966323667
Brazil,paper bag,2015,13068523,106.67999999999999,116.61766649769382,122502.09036370454
Brazil,plastic bag,2015,8222707,72.52,79.2755265692984,113385.3695532267
Bulgaria,paper bag,2015,176030,2585.72,2826.5901070155314,68.07775010441966
Bulgaria,plastic bag,2015,49589,59.69,65.25036101656679,830.7756743173061
Burma,textile bag,2015,129256,6150.0,6722.896971886174,21.017235772357722
Cambodia,textile bag,2015,7862737,3210.0,3509.0242731308326,2449.4507788161995
Cambodia,paper bag,2015,20449,156.21,170.76158308590882,130.9071122207285
Cambodia,plastic bag,2015,16409359,15.36,16.790845120027907,1068317.6432291667
Canada,textile bag,2015,18980457,3130.0,3421.571954797354,6064.0437699680515
Canada,paper bag,2015,717547953,151.13,165.2083608717329,4747885.615033415
Canada,plastic bag,2015,452995662,28.8,31.482834600052332,15729016.041666666
Chile,paper bag,2015,11657464,98.425,107.59368039965801,118440.07112014224
Chile,plastic bag,2015,1009888,26.74,29.230937402965253,37766.94091249065
China,textile bag,2015,1235445692,2650.0,2896.8580447964814,466205.92150943395
China,paper bag,2015,905553285,228.6,249.8949996379153,3961300.4593175855
China,plastic bag,2015,1012275632,10.47,11.445322161894023,96683441.45176695
Colombia,textile bag,2015,1991816,17240.0,18845.974600864658,115.53457076566126
Colombia,paper bag,2015,866665,114.3,124.94749981895765,7582.370953630796
Colombia,plastic bag,2015,3260235,6.92,7.564625535845907,471132.22543352604
Costa Rica,paper bag,2015,2621273,1510.03,1650.6953031637854,1735.9078958696184
Costa Rica,plastic bag,2015,9292130,7.24,7.914434809179821,1283443.3701657457
Croatia,plastic bag,2015,24095,5.12,5.596948373342636,4706.0546875
Cyprus,paper bag,2015,5240,333.375,364.4302078052932,15.7180352455943
Czech Republic,textile bag,2015,262699,1160.0,1268.058615835441,226.46465517241379
Czech Republic,paper bag,2015,1095826,215.26500000000001,235.3177913257037,5090.5906673170275
Czech Republic,plastic bag,2015,29056,0.77,0.8417285639597324,37735.06493506493
Denmark,textile bag,2015,127876,15120.0,16528.488165027473,8.457407407407407
Denmark,paper bag,2015,5711596,580.39,634.4556379695962,9840.962111683524
Denmark,plastic bag,2015,12302281,14.53,15.883527317318066,846681.4177563662
Dominican Rep,textile bag,2015,99406,14210.0,15533.71804398415,6.995496129486277
Dominican Rep,paper bag,2015,3126935,113.03,123.5591942654137,27664.646554012208
Dominican Rep,plastic bag,2015,2014973,12.95,14.156344030231864,155596.37065637065
Ecuador,plastic bag,2015,5497705,13.12,14.342180206690506,419032.39329268294
Egypt,paper bag,2015,393589,151.13,165.2083608717329,2604.30754979157
Egypt,plastic bag,2015,113009,15.9,17.38114826877889,7107.4842767295595
El Salvador,textile bag,2015,878590,5010.0,5476.701435634102,175.36726546906186
El Salvador,paper bag,2015,493125,333.375,364.4302078052932,1479.1901012373453
El Salvador,plastic bag,2015,1954541,41.86,45.75942556799272,46692.331581462015
Estonia,textile bag,2015,1843062,190340.0,208070.9283949292,9.682998844173584
Finland,textile bag,2015,2400142,6850.0,7488.104757304112,350.38569343065694
Finland,paper bag,2015,8278052,128.27,140.21886090794143,64536.150307944175
Finland,plastic bag,2015,96069,103.12,112.72603833185406,931.623351435221
France,textile bag,2015,5752817,5420.0,5924.894567093182,1061.4053505535055
France,paper bag,2015,69587995,247.65,270.719582941075,280993.31718150614
France,plastic bag,2015,15808066,58.5,63.9495077813563,270223.35042735044
Germany,textile bag,2015,5581143,5190.0,5673.469151884431,1075.364739884393
Germany,paper bag,2015,403598449,177.79999999999998,194.36277749615638,2269957.5309336334
Germany,plastic bag,2015,37684144,9.75,10.658251296892717,3865040.4102564105
Greece,paper bag,2015,1118175,379.09499999999997,414.40920773287627,2949.590472045266
Greece,plastic bag,2015,945956,157.16,171.8000793661189,6019.063374904556
Guatemala,textile bag,2015,1385669,830.0,907.3178027098414,1669.4807228915663
Guatemala,paper bag,2015,135878,264.16,288.7675551371467,514.3776499091459
Guatemala,plastic bag,2015,523963,0.23,0.2514254152087513,2278100.0
Honduras,textile bag,2015,4838497,1000.0,1093.1539791684836,4838.497
Honduras,paper bag,2015,115452,704.85,770.5095822169058,163.79655245796977
Honduras,plastic bag,2015,1579090,8.51,9.302740362723796,185556.9917743831
Hong Kong,textile bag,2015,9142805,1380.0,1508.5524912525073,6625.221014492754
Hong Kong,paper bag,2015,4972722,363.21999999999997,397.05538831357666,13690.661307196742
Hong Kong,plastic bag,2015,28022286,11.16,12.199598407520277,2510957.5268817204
Hungary,textile bag,2015,101834,36800.0,40228.0664334002,2.7672282608695653
Hungary,paper bag,2015,354146,354.33,387.33724943876877,999.4807100725313
Hungary,plastic bag,2015,16711,1.29,1.4101686331273438,12954.263565891473
India,textile bag,2015,160609009,1670.0,1825.5671452113677,96173.05928143712
India,paper bag,2015,34438895,138.43,151.32530533629318,248782.01979339737
India,plastic bag,2015,62043998,9.07,9.914906591058147,6840573.098125689
Indonesia,textile bag,2015,28021307,9010.0,9849.31735230804,3110.022974472808
Indonesia,paper bag,2015,43997973,177.165,193.66862471938438,248344.61095588858
Indonesia,plastic bag,2015,3478744,13.05,14.26565942814871,266570.42145593866
Ireland,textile bag,2015,256941,35960.0,39309.81709089867,7.1451890989988875
Ireland,paper bag,2015,4496379,1786.89,1953.3459138363717,2516.315497876198
Ireland,plastic bag,2015,606297,81.78,89.39813241639861,7413.756419662509
Israel,textile bag,2015,1008331,7490.0,8187.723303971941,134.62363150867824
Israel,paper bag,2015,5995066,210.185,229.7645691115277,28522.806099388632
Israel,plastic bag,2015,16263579,45.13,49.33403907987367,360371.79259915795
Italy,textile bag,2015,3486998,16990.0,18572.686106072542,205.23825779870512
Italy,paper bag,2015,58572463,141.605,154.79606922015313,413632.7318950602
Italy,plastic bag,2015,2698307,10.72,11.718610656686144,251707.74253731343
Japan,textile bag,2015,799048,1280.0,1399.237093335659,624.25625
Japan,paper bag,2015,316495009,193.67499999999998,211.71659691545608,1634155.2033045052
Japan,plastic bag,2015,13389765,24.29,26.55271015400246,551245.9860024701
Jordan,plastic bag,2015,440495,11.58,12.65872307877104,38039.29188255613
Kenya,textile bag,2015,257910,2000.0,2186.307958336967,128.955
Laos,plastic bag,2015,2185395,68.73,75.13247298824989,31796.8136185072
Latvia,paper bag,2015,3131,5680.71,6209.890741002197,0.5511634989288311
Lebanon,paper bag,2015,5880,476.25,520.6145825789903,12.346456692913385
Lithuania,textile bag,2015,3970,23820.0,26038.92778379328,0.16666666666666666
Lithuania,paper bag,2015,17066,338.455,369.98343001946904,50.42324681272252
Luxembourg,paper bag,2015,175605,144.78,158.26683310401307,1212.9092416079568
Malaysia,textile bag,2015,2056027,21060.0,23021.822801288265,97.62711301044634
Malaysia,paper bag,2015,12893463,848.36,927.3881097673748,15198.103399500213
Malaysia,plastic bag,2015,123602791,12.41,13.566040881480882,9959934.810636584
Mexico,textile bag,2015,94838350,8570.0,9368.329601473906,11066.318553092182
